name,author,time,shop_url
A Decades-Old Queens Street Cart Takes Its Tamales to Manhattan,Luke Fortney,June 13,https://ny.eater.com/2023/6/13/23757856/evelias-tamales-street-vendor-opening-high-line-chelsea-nyc
"A Massive, Multifloor Mediterranean Restaurant Now Anchors the Coney Island Boardwalk",Emma Orlow,June  8,https://ny.eater.com/2023/6/1/23744383/nyc-restaurant-openings-june-2023
Restaurant That Ushered in a New Era of Chinese Food Gets a Second Chance,Melissa McCart,June  5,https://ny.eater.com/2023/6/5/23749460/fat-choy-chinese-vegan-restaurant-reopening-new-jersey
North Korean Cold Noodles Are Here From a Michelin-Starred Restaurant,Luke Fortney,May 30,https://ny.eater.com/2023/5/30/23734553/moono-opens-koreatown-michelin-starred-restaurant-jua-cold-noodle-soup
The New Wave French Restaurant Trend Keeps Coming,Emma Orlow,May 25,https://ny.eater.com/2023/5/4/23701302/nyc-restaurant-openings-may-2023
New Spotted Pig Building Owner Wants His Restaurant to Feel Like ‘a Clubhouse’,Melissa McCart,May 23,https://ny.eater.com/2023/5/23/23734224/golden-swan-opening-matt-abramcyk-spotted-pig
Brooklyn’s Newest Restaurant Feels Like a Mexican Steakhouse,Luke Fortney,May 18,https://ny.eater.com/2023/5/18/23725802/mitica-opening-greenpoint-brooklyn-mariscos-el-submarino
A Korean Pizza Parlor Channeling Pizza Hut Arrives in NYC,Jess Eng,May 17,https://ny.eater.com/2023/5/17/23725558/appas-pizza-korean-pizza-hut-east-village-nyc
Brooklyn’s Booked-Out Laser Wolf Opens a Seafood Bar You Can Get Into ,Luke Fortney,May 16,https://ny.eater.com/2023/5/16/23725399/jaffa-cocktail-bar-opening-laser-wolf-michael-solomonov
A Maximalist Italian Restaurant With a Three-Foot-Tall Pepper Mill Lands in Brooklyn,Emma Orlow,May 16,https://ny.eater.com/2023/5/16/23724329/cafe-mars-restaurant-opening-italian-gowanus-brooklyn
New Yorkers Are Lining Up at This New Hong Kong-Style Cafe Found Below Doyers Street,Luke Fortney,May 12,https://ny.eater.com/2023/5/12/23720060/mabu-cafe-manhattan-chinatown-hong-kong-cafe
New York’s Best New Restaurant Plots a Sequel,Luke Fortney,May 10,https://ny.eater.com/2023/5/10/23715848/dept-of-culture-opening-sequel-clinton-hill-brooklyn-best-new-restaurant
A Restaurant With French Flair Arrives From Alums of June and Rhodora,Emma Orlow,May  3,https://ny.eater.com/2023/5/3/23708649/margot-restaurant-bar-opening-fort-greene
Park Slope’s Wine Bar Scene Levels Up With New Spanish Spot From LaLou Couple,Andrea Strong,May  2,https://ny.eater.com/2023/5/2/23707073/bar-vinazo-park-slope-opening
A Rooftop Bar With Indonesian-Style Chicken Wings and Jelly Shots Joins the Skyline — And More Openings,Emma Orlow,April 27,https://ny.eater.com/2023/4/6/23663865/nyc-restaurant-openings-april-2023
NY Icon Sammy’s Roumanian Plots Its Big Return to Manhattan,Emma Orlow,April 27,https://ny.eater.com/2023/4/27/23700662/sammys-roumanian-restaurant-opening-lower-east-side
A Self-Proclaimed ‘Dyke Bar for the Queers’ Opens in Bushwick,Melissa Kravitz Hoeffner,April 26,https://ny.eater.com/2023/4/26/23697699/the-bush-lesbian-queer-bar-bushwick
Manhattan’s New Hot Pot and Barbecue Restaurant Is Unlike Anything on Earth,Luke Fortney,April 14,https://ny.eater.com/2023/4/14/23654812/three-hot-pot-bbq-opening-midtown
This New Restaurant Wants to Showcase What Historically Accurate Burgers Taste Like,Melissa McCart,April 11,https://ny.eater.com/2023/4/11/23677818/hamburger-america-greenwich-village-george-motz-opening
Team From James Beard Award-Winning Maison Premiere to Open a Manhattan Bar,Emma Orlow,April  5,https://ny.eater.com/2023/4/5/23655618/maison-premiere-new-bar
The Michelin-Starred Atomix Team Opens a New Korean Restaurant — And More Openings,Luke Fortney,March 30,https://ny.eater.com/2023/3/2/23617365/nyc-restaurant-openings-march-2023
Find Soft and Squishy Banh Mi at This Vietnamese Restaurant Hiding in a Bar Basement,Luke Fortney,March 27,https://ny.eater.com/2023/3/27/23653787/coconana-vietnamese-restaurant-hidden-park-slope-cocktail-bar
Bushwick Has a New Dim Sum Spot That Turns Into a Nightclub by Dark,Caroline Shin,March  8,https://ny.eater.com/2023/3/8/23629673/red-pavilion-restaurant-opening-traditional-chinese-medicine
NYC’s Most Anticipated Restaurant Openings of Spring 2023,Emma Orlow,March  7,https://ny.eater.com/2023/3/7/23574671/best-new-restaurants-nyc-spring-2023-anticipated-openings
A Chinatown Favorite Since the 1970s Opens in Williamsburg — And More Openings,Emma Orlow,February 23,https://ny.eater.com/2023/2/2/23573037/nyc-restaurant-openings-february-2023
Inside This ‘Secret’ Thai Buffet Tucked in the Back of an Astoria Market,Caroline Shin,February 15,https://ny.eater.com/2023/2/15/23582410/secret-thai-street-food-opening-astoria
April Bloomfield Is Back — In Brooklyn,Melissa McCart,February 15,https://ny.eater.com/2023/2/15/23600914/april-bloomfield-gabriel-stulman-restaurant-fort-greene
Welcome to the Year’s Most Unhinged Italian Restaurant So Far,Luke Fortney,February 14,https://ny.eater.com/2023/2/14/23597157/bad-roman-italian-restaurant-quality-branded-opening-manhattan-nyc
Michelin-Starred Musket Room Opens New Bakery-Restaurant in a Storied Home,Emma Orlow,February 14,https://ny.eater.com/2023/2/14/23598743/rafs-opening-camari-mick-mary-attea-musket-room
New Hotspot From the Pebble Bar Crew Replaces the Smile in Noho,Emma Orlow,February 10,https://ny.eater.com/2023/2/10/23594732/jacs-on-bond-opens-the-smile-closing
"A Decade in the Making, Richard Branson’s Virgin Hotel Restaurant Is Now Open",Melissa McCart,February  8,https://ny.eater.com/2023/2/8/23591509/virgin-hotel-everdene-nyc-restaurant-bar-pool
A Per Se Alum Brings Wacky Cakes to Flushing,Emma Orlow,February  6,https://ny.eater.com/2023/2/6/23561397/gong-gan-bakery-bar-opening-flushing
